C#,Mw,HLB,EO,Conc,pH,IE
13.0,244.05,3.7,1.0,0.05,0.38,56.37357
13.0,508.35,12.3,7.0,0.05,0.41,81.3512
12.0,650.5,13.5,10.0,0.05,0.44,85.16205
18.0,500.25,8.5,5.0,0.05,0.45,67.0431
18.0,2047.0,17.3,40.0,0.05,0.44,73.3095
55.0,9740.0,18.0,200.0,0.05,0.37,79.9227
55.0,2692.0,13.0,40.0,0.05,0.38,83.67949999999999
55.0,2692.0,14.0,40.0,0.05,0.37,70.8682
13.0,684.55,14.0,11.0,0.05,0.44,69.885
17.0,744.55,13.0,11.0,0.05,0.43,74.39614999999999
17.0,1361.25,16.1,25.0,0.05,0.43,79.63980000000001
17.0,2462.5,17.9,50.0,0.05,0.39,73.1922
17.0,3784.0,20.0,80.0,0.05,0.45,78.7842
10.0,270.13,8.1,3.0,0.05,0.36,79.5406
10.0,424.3,12.5,6.0,0.05,0.46,84.28644999999999
13.0,1962.0,18.0,40.0,0.05,0.21,81.081
13.0,640.5,13.6,10.0,0.05,0.24,73.2718
0.0,3300.0,4.5,8.0,0.05,0.49,78.51545
0.0,1100.0,4.0,8.0,0.05,0.46,80.3562
0.0,1900.0,21.5,20.0,0.05,0.51,80.04775000000001
0.0,8400.0,24.0,164.0,0.05,0.46,76.82395
0.0,14600.0,24.0,272.0,0.05,0.47,80.78405
0.0,12600.0,21.5,190.0,0.05,0.44,81.22184999999999
0.0,62.0,8.3,1.0,0.05,0.55,5.725
8.0,625.0,13.5,10.0,0.05,0.44,53.4336
12.0,1228.0,16.7,20.0,0.05,0.45,59.84299999999999
18.0,1310.0,15.0,20.0,0.05,0.44,43.13
9.0,346.0,8.6,0.0,0.05,0.37,38.976299999999995
17.0,428.0,4.3,0.0,0.05,0.43,30.51
13.0,,,,0.05,0.43,49.31
9.0,,,,0.05,0.45,33.39
9.0,,,,0.05,0.45,48.69
12.0,,,,0.05,0.28,66.3189
0.0,2000.0,3.0,,0.05,0.37,82.19
0.0,2500.0,7.0,,0.05,0.4,81.87
0.0,3800.0,1.0,,0.05,0.39,83.87
,333.0,8.0,3.0,0.05,0.48,88.97
,1496.0,17.4,30.0,0.05,0.43,78.51750000000001
,1000.0,5.0,,0.05,0.45,90.48
11.0,,6.0,,0.05,0.51,93.62
,394.0,10.9,5.0,0.05,0.36,88.23
,2877.0,18.0,60.0,0.05,0.34,73.758
0.0,5900.0,13.0,,0.05,0.54,81.7443
,3650.0,7.0,,0.05,0.44,82.4
0.0,6200.0,14.0,,0.05,0.4,82.95
11.0,569.0,13.9,9.0,0.05,0.45,83.4
10.0,425.0,12.4,6.0,0.05,0.53,88.06
,,5.0,2.0,0.05,0.51,91.98
0.0,7900.0,13.0,,0.05,0.4,82.38
13.0,1520.0,17.4,31.0,0.05,0.37,85.12225000000001
,,12.5,,0.05,0.3,88.94305
14.0,735.0,14.0,,0.05,0.47,86.73389999999999
8.0,1526.0,17.3,30.0,0.05,0.35,57.792
0.0,2000.0,15.0,10.0,0.05,0.33,82.6049
0.0,5800.0,8.0,20.0,0.05,0.4,79.29155
,,,,0.05,0.37,30.24
9.0,1338.71,,,0.05,0.39,80.988
17.0,,5.0,,0.05,0.25,88.08735
21.0,,,,0.05,0.34,18.863999999999997
13.0,244.05,3.7,1.0,0.005,0.38,38.31165000000001
13.0,508.35,12.3,7.0,0.005,0.41,54.894149999999996
12.0,650.5,13.5,10.0,0.005,0.44,66.2869
18.0,500.25,8.5,5.0,0.005,0.45,23.5616
18.0,2047.0,17.3,40.0,0.005,0.44,67.1022
55.0,9740.0,18.0,200.0,0.005,0.37,76.25970000000001
55.0,2692.0,13.0,40.0,0.005,0.38,76.615
55.0,2692.0,14.0,40.0,0.005,0.37,70.4802
13.0,684.55,14.0,11.0,0.005,0.44,55.791000000000004
17.0,744.55,13.0,11.0,0.005,0.43,50.71515
17.0,1361.25,16.1,25.0,0.005,0.43,68.70474999999999
17.0,2462.5,17.9,50.0,0.005,0.39,88.6943
17.0,3784.0,20.0,80.0,0.005,0.45,74.6757
10.0,270.13,8.1,3.0,0.005,0.36,59.710339999999995
10.0,424.3,12.5,6.0,0.005,0.46,57.12295
13.0,1962.0,18.0,40.0,0.005,0.21,70.4088
13.0,640.5,13.6,10.0,0.005,0.24,66.7844
0.0,3300.0,4.5,8.0,0.005,0.49,14.7061
0.0,1100.0,4.0,8.0,0.005,0.46,21.36265
0.0,1900.0,21.5,20.0,0.005,0.51,28.1386
0.0,8400.0,24.0,164.0,0.005,0.46,33.67080000000001
0.0,14600.0,24.0,272.0,0.005,0.47,27.8998
0.0,12600.0,21.5,190.0,0.005,0.44,29.64105
0.0,62.0,8.3,1.0,0.005,0.55,18.675
8.0,625.0,13.5,10.0,0.005,0.44,41.088
12.0,1228.0,16.7,20.0,0.005,0.45,38.661
18.0,1310.0,15.0,20.0,0.005,0.44,37.1
9.0,346.0,8.6,0.0,0.005,0.37,37.5804
17.0,428.0,4.3,0.0,0.005,0.43,40.55
13.0,,,,0.005,0.43,31.86
9.0,,,,0.005,0.45,42.47
9.0,,,,0.005,0.45,28.78
12.0,,,,0.005,0.28,31.0788
0.0,2000.0,3.0,,0.005,0.37,63.19
0.0,2500.0,7.0,,0.005,0.4,68.79
0.0,3800.0,1.0,,0.005,0.39,70.78
,333.0,8.0,3.0,0.005,0.48,42.83
,1496.0,17.4,30.0,0.005,0.43,69.5875
,1000.0,5.0,,0.005,0.45,89.03
11.0,,6.0,,0.005,0.51,58.49
,394.0,10.9,5.0,0.005,0.36,57.22
,2877.0,18.0,60.0,0.005,0.34,70.015
0.0,5900.0,13.0,,0.005,0.54,72.5274
,3650.0,7.0,,0.005,0.44,70.77
0.0,6200.0,14.0,,0.005,0.4,70.98
11.0,569.0,13.9,9.0,0.005,0.45,83.28
10.0,425.0,12.4,6.0,0.005,0.53,66.51
,,5.0,2.0,0.005,0.51,83.69
0.0,7900.0,13.0,,0.005,0.4,66.7
13.0,1520.0,17.4,31.0,0.005,0.37,92.0574
,,12.5,,0.005,0.3,82.54519999999998
14.0,735.0,14.0,,0.005,0.47,88.42679999999999
8.0,1526.0,17.3,30.0,0.005,0.35,47.817
0.0,2000.0,15.0,10.0,0.005,0.33,13.26335
0.0,5800.0,8.0,20.0,0.005,0.4,70.1674
,,,,0.005,0.37,30.4325
9.0,1338.71,,,0.005,0.39,59.313
17.0,,5.0,,0.005,0.25,70.21714999999999
21.0,,,,0.005,0.34,15.9
13.0,244.05,3.7,1.0,0.05,4.83,13.546440000000002
13.0,508.35,12.3,7.0,0.05,4.8,13.0146
12.0,650.5,13.5,10.0,0.05,5.22,42.95415
18.0,500.25,8.5,5.0,0.05,5.12,20.24825
18.0,2047.0,17.3,40.0,0.05,5.02,60.1821
55.0,9740.0,18.0,200.0,0.05,5.23,60.6078
55.0,2692.0,13.0,40.0,0.05,5.23,64.5755
55.0,2692.0,14.0,40.0,0.05,5.21,20.331200000000003
13.0,684.55,14.0,11.0,0.05,4.94,7.11
17.0,744.55,13.0,11.0,0.05,4.96,35.33245
17.0,1361.25,16.1,25.0,0.05,4.97,57.87915
17.0,2462.5,17.9,50.0,0.05,4.2,59.6602
17.0,3784.0,20.0,80.0,0.05,4.21,44.5599
10.0,270.13,8.1,3.0,0.05,4.34,6.776419999999999
10.0,424.3,12.5,6.0,0.05,4.36,8.20875
13.0,1962.0,18.0,40.0,0.05,4.2,42.0255
13.0,640.5,13.6,10.0,0.05,4.12,48.78485
0.0,3300.0,4.5,8.0,0.05,6.34,-28.496799999999997
0.0,1100.0,4.0,8.0,0.05,5.57,-35.7404
0.0,1900.0,21.5,20.0,0.05,5.93,-2.8158499999999997
0.0,8400.0,24.0,164.0,0.05,5.61,6.57695
0.0,14600.0,24.0,272.0,0.05,5.67,-26.27795
0.0,12600.0,21.5,190.0,0.05,5.61,15.054350000000001
0.0,62.0,8.3,1.0,0.05,6.29,-4.59
8.0,625.0,13.5,10.0,0.05,5.29,4.6592
12.0,1228.0,16.7,20.0,0.05,5.8,-20.713
18.0,1310.0,15.0,20.0,0.05,5.83,7.645
9.0,346.0,8.6,0.0,0.05,5.77,22.5027
17.0,428.0,4.3,0.0,0.05,5.71,14.7
13.0,,,,0.05,5.83,9.45
9.0,,,,0.05,5.76,22.73
9.0,,,,0.05,6.38,-30.33
12.0,,,,0.05,6.78,3.0652000000000004
0.0,2000.0,3.0,,0.05,6.23,0.68
0.0,2500.0,7.0,,0.05,6.42,19.61
0.0,3800.0,1.0,,0.05,6.18,12.55
,333.0,8.0,3.0,0.05,5.98,-23.3
,1496.0,17.4,30.0,0.05,6.21,12.293
,1000.0,5.0,,0.05,6.21,-6.22
11.0,,6.0,,0.05,6.27,9.27
,394.0,10.9,5.0,0.05,6.02,-20.11
,2877.0,18.0,60.0,0.05,6.32,2.2705
0.0,5900.0,13.0,,0.05,6.14,5.405399999999999
,3650.0,7.0,,0.05,6.16,2.13
0.0,6200.0,14.0,,0.05,6.14,-17.9
11.0,569.0,13.9,9.0,0.05,5.87,4.58
10.0,425.0,12.4,6.0,0.05,5.6,3.02
,,5.0,2.0,0.05,5.98,-12.83
0.0,7900.0,13.0,,0.05,6.02,33.89
13.0,1520.0,17.4,31.0,0.05,6.17,-5.1739999999999995
,,12.5,,0.05,5.74,-30.745499999999996
14.0,735.0,14.0,,0.05,6.12,-15.978600000000002
8.0,1526.0,17.3,30.0,0.05,6.03,0.784
0.0,2000.0,15.0,10.0,0.05,6.11,-10.945
0.0,5800.0,8.0,20.0,0.05,5.87,4.12925
,,,,0.05,7.97,10.493
9.0,1338.71,,,0.05,5.97,-19.5925
17.0,,5.0,,0.05,5.86,43.391949999999994
21.0,,,,0.05,6.58,6.36
13.0,244.05,3.7,1.0,0.5,5.5,95.12478000000002
13.0,508.35,12.3,7.0,0.5,5.5,24.894899999999996
12.0,650.5,13.5,10.0,0.5,5.5,44.645649999999996
18.0,500.25,8.5,5.0,0.5,5.5,42.267599999999995
18.0,2047.0,17.3,40.0,0.5,5.5,51.163199999999996
55.0,9740.0,18.0,200.0,0.5,5.5,60.9147
55.0,2692.0,13.0,40.0,0.5,5.5,48.1779
55.0,2692.0,14.0,40.0,0.5,5.5,12.9301
13.0,684.55,14.0,11.0,0.5,5.5,34.775999999999996
17.0,744.55,13.0,11.0,0.5,5.5,50.0286
17.0,1361.25,16.1,25.0,0.5,5.5,54.41655
17.0,2462.5,17.9,50.0,0.5,5.5,57.938849999999995
17.0,3784.0,20.0,80.0,0.5,5.5,39.996
10.0,270.125,8.1,2.5,0.5,5.5,35.86812
10.0,424.3,12.5,6.0,0.5,5.5,41.09349999999999
13.0,1962.0,18.0,40.0,0.5,5.5,28.531799999999997
13.0,640.5,13.6,10.0,0.5,5.5,19.29305
0.0,3300.0,4.5,8.0,0.5,5.5,31.7206
0.0,1100.0,4.0,8.0,0.5,5.5,12.168849999999999
0.0,1900.0,21.5,20.0,0.5,5.5,11.85045
0.0,8400.0,24.0,164.0,0.5,5.5,21.581550000000004
0.0,14600.0,24.0,272.0,0.5,5.5,28.62615
0.0,12600.0,21.5,190.0,0.5,5.5,40.068650000000005
0.0,62.0,8.3,1.0,0.5,5.5,4.96
8.0,625.0,13.5,9.5,0.5,5.5,9.1072
12.0,1228.0,16.7,20.0,0.5,5.5,46.312
18.0,1310.0,15.0,20.0,0.5,5.5,33.365
9.0,346.0,8.6,0.0,0.5,5.5,45.836999999999996
17.0,428.0,4.3,0.0,0.5,5.5,46.06
13.0,,,,0.5,5.5,91.29
9.0,,,,0.5,5.5,33.43
9.0,,,,0.5,5.5,59.83
12.0,,,,0.5,5.5,50.653400000000005
0.0,2000.0,3.0,,0.5,5.5,24.86
0.0,2500.0,7.0,,0.5,5.5,12.71
0.0,3800.0,1.0,,0.5,5.5,44.41
,333.0,8.0,3.0,0.5,5.5,22.57
,1496.0,17.4,30.0,0.5,5.5,30.0295
,1000.0,5.0,,0.5,5.5,27.99
11.0,,6.0,,0.5,5.5,31.57
,394.0,10.9,5.0,0.5,5.5,-12.27
,2877.0,18.0,60.0,0.5,5.5,22.857
0.0,5900.0,13.0,,0.5,5.5,48.213
,3650.0,7.0,,0.5,5.5,71.54
0.0,6200.0,14.0,,0.5,5.5,32.75
11.0,569.0,13.9,9.0,0.5,5.5,38.09
10.0,425.0,12.4,6.0,0.5,5.5,30.27
,,5.0,2.0,0.5,5.5,23.57
0.0,7900.0,13.0,,0.5,5.5,34.52
13.0,1520.0,17.4,31.0,0.5,5.5,29.422150000000002
,,12.5,,0.5,5.5,10.537049999999999
14.0,735.0,14.0,,0.5,5.5,31.5414
8.0,1526.0,17.3,30.0,0.5,5.5,35.077
0.0,2000.0,15.0,10.0,0.5,5.5,35.3623
0.0,5800.0,8.0,20.0,0.5,5.5,27.014249999999997
,,,,0.5,5.5,6.093500000000001
9.0,1338.7071,,,0.5,5.5,13.498
17.0,,5.0,,0.5,5.5,23.651149999999998
21.0,,,,0.5,5.5,35.0
13.0,244.05,3.7,1.0,0.1,12.5,64.91502
13.0,508.35,12.3,7.0,0.1,12.5,62.98349999999999
12.0,650.5,13.5,10.0,0.1,12.5,76.5752
18.0,500.25,8.5,5.0,0.1,12.5,56.76474999999999
18.0,2047.0,17.3,40.0,0.1,12.5,56.083499999999994
55.0,9740.0,18.0,200.0,0.1,12.5,64.4985
55.0,2692.0,13.0,40.0,0.1,12.5,31.252950000000002
55.0,2692.0,14.0,40.0,0.1,12.5,49.916199999999996
13.0,684.55,14.0,11.0,0.1,12.5,82.017
17.0,744.55,13.0,11.0,0.1,12.5,22.278049999999997
17.0,1361.25,16.1,25.0,0.1,12.5,24.04915
17.0,2462.5,17.9,50.0,0.1,12.5,62.70490000000001
17.0,3784.0,20.0,80.0,0.1,12.5,93.09960000000001
10.0,270.125,8.1,2.5,0.1,12.5,76.68632000000001
10.0,424.3,12.5,6.0,0.1,12.5,-25.3725
13.0,1962.0,18.0,40.0,0.1,12.5,61.9938
13.0,640.5,13.6,10.0,0.1,12.5,43.0238
0.0,3300.0,4.5,8.0,0.1,12.5,88.02765
0.0,1100.0,4.0,8.0,0.1,12.5,45.0138
0.0,1900.0,21.5,20.0,0.1,12.5,32.42705
0.0,8400.0,24.0,164.0,0.1,12.5,-16.586650000000002
0.0,14600.0,24.0,272.0,0.1,12.5,-51.4017
0.0,12600.0,21.5,190.0,0.1,12.5,54.47625
8.0,625.0,13.5,9.5,0.1,12.5,42.7776
12.0,1228.0,16.7,20.0,0.1,12.5,66.773
18.0,1310.0,15.0,20.0,0.1,12.5,36.315
9.0,346.0,8.6,0.0,0.1,12.5,22.2156
17.0,428.0,4.3,0.0,0.1,12.5,29.49
0.0,2000.0,3.0,,0.1,12.5,91.49
0.0,2500.0,7.0,,0.1,12.5,57.92
0.0,3800.0,1.0,,0.1,12.5,79.68
,333.0,8.0,3.0,0.1,12.5,19.73
,1496.0,17.4,30.0,0.1,12.5,86.184
,1000.0,5.0,,0.1,12.5,77.4
11.0,,6.0,,0.1,12.5,93.27
,2877.0,18.0,60.0,0.1,12.5,56.021499999999996
0.0,5900.0,13.0,,0.1,12.5,83.4273
,3650.0,7.0,,0.1,12.5,83.86
0.0,6200.0,14.0,,0.1,12.5,45.36
11.0,569.0,13.9,9.0,0.1,12.5,48.12
10.0,425.0,12.4,6.0,0.1,12.5,12.2
,,5.0,2.0,0.1,12.5,72.68
0.0,7900.0,13.0,,0.1,12.5,94.04
13.0,1520.0,17.4,31.0,0.1,12.5,8.24855
,,12.5,,0.1,12.5,82.6646
14.0,735.0,14.0,,0.1,12.5,88.0209
8.0,1526.0,17.3,30.0,0.1,12.5,37.534
0.0,2000.0,15.0,10.0,0.1,12.5,55.6603
0.0,5800.0,8.0,20.0,0.1,12.5,88.0376
,,,,0.1,12.5,24.192000000000004
9.0,1338.7071,,,0.1,12.5,63.138000000000005
17.0,,5.0,,0.1,12.5,76.98315000000001
21.0,,,,0.1,12.5,16.368000000000002
